what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.team.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.team.ui",1342534379735
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1342534379747
started,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1342534379769
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1342534379781
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1342534379786
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1342534379799
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1342534379809
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1342534379821
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1342534379837
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1342534379843
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1342534379860
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1342534379875
started,bundle,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.ide",1342534379895
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1342534379896
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1342534379900
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1342534379908
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1342534379921
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1342534379931
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1342534379937
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1342534379953
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1342534379968
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1342534379968
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1342534379968
os,sysinfo,,,"linux",1342534379972
arch,sysinfo,,,"x86_64",1342534379972
ws,sysinfo,,,"gtk",1342534379972
locale,sysinfo,,,"en_US",1342534379972
processors,sysinfo,,,"8",1342534379972
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1342534379972
java.runtime.version,sysinfo,,,"1.6.0_24-b24",1342534379972
java.specification.name,sysinfo,,,"Java Platform API Specification",1342534379972
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1342534379972
java.specification.version,sysinfo,,,"1.6",1342534379972
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1342534379972
java.version,sysinfo,,,"1.6.0_24",1342534379972
java.vm.info,sysinfo,,,"mixed mode",1342534379972
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1342534379972
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1342534379972
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1342534379972
java.vm.specification.version,sysinfo,,,"1.0",1342534379972
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1342534379972
java.vm.version,sysinfo,,,"20.0-b12",1342534379972
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342534382081
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.perspectives.showPerspective",1342534386356
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.perspectives.showPerspective",1342534386356
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342534386370
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk",1342534389135
started,bundle,org.eclipse.equinox.p2.ui,2.1.0.v20110601,"org.eclipse.equinox.p2.ui",1342534389171
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk.update",1342534390697
started,bundle,org.eclipse.equinox.p2.transport.ecf,1.0.0.v20110510,"org.eclipse.equinox.p2.transport.ecf",1342534390718
started,bundle,org.eclipse.ecf.filetransfer,5.0.0.v20110531-2218,"org.eclipse.ecf.filetransfer",1342534390764
started,bundle,org.eclipse.ecf.identity,3.1.100.v20110531-2218,"org.eclipse.ecf.identity",1342534390782
started,bundle,org.eclipse.ecf,3.1.300.v20110531-2218,"org.eclipse.ecf",1342534390886
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer.httpclient",1342534390886
started,bundle,org.eclipse.ecf.provider.filetransfer,3.2.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer",1342534390887
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342534391073
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.2.100.v20110510,"org.eclipse.equinox.p2.extensionlocation",1342534393474
started,bundle,org.eclipse.equinox.p2.director,2.1.0.v20110504-1715,"org.eclipse.equinox.p2.director",1342535250171
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110510,"org.eclipse.equinox.p2.garbagecollector",1342535250184
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.1.100.v20110519,"org.eclipse.equinox.p2.artifact.repository",1342535250241
started,bundle,org.eclipse.equinox.p2.publisher,1.2.0.v20110511,"org.eclipse.equinox.p2.publisher",1342535250286
